{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.9806900024414
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.4981038570404053
start time: 2023-11-15T20:50:20.000000000
end time: 2023-11-15T23:30:40.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
352.2000,1.8357,34.7096
351.2000,1.8324,34.7109
350.2000,1.8451,34.7112
349.2000,1.8471,34.7114
348.2000,1.8579,34.7101
347.2000,1.8475,34.7091
346.2000,1.8721,34.7087
345.2000,1.8601,34.7103
344.2000,1.8807,34.7114
343.2000,1.9163,34.7100
342.2000,1.9348,34.7079
341.2000,1.9342,34.7072
340.2000,1.9651,34.7076
339.2000,1.9766,34.7069
338.2000,1.9852,34.7084
337.2000,2.0054,34.7092
336.2000,2.0027,34.7091
335.2000,2.0324,34.7090
334.2000,2.0493,34.7106
333.2000,2.0504,34.7101
332.2000,2.0570,34.7104
331.2000,2.0663,34.7112
330.2000,2.0871,34.7117
329.2000,2.1070,34.7107
328.2000,2.1041,34.7106
327.2000,2.0912,34.7087
326.2000,2.1134,34.7091
325.2000,2.1254,34.7098
324.2000,2.1242,34.7119
323.2000,2.1141,34.7122
322.2000,2.1313,34.7120
321.2000,2.1349,34.7112
320.2000,2.1460,34.7093
319.2000,2.1383,34.7089
318.2000,2.1557,34.7101
317.2000,2.1599,34.7093
316.2000,2.1690,34.7092
315.2000,2.1755,34.7089
314.2000,2.1862,34.7068
313.2000,2.1879,34.7060
312.2000,2.2113,34.7069
311.2000,2.2378,34.7065
310.2000,2.2618,34.7064
309.2000,2.2655,34.7089
308.2000,2.3015,34.7077
307.2000,2.3305,34.7083
306.2000,2.3380,34.7066
305.2000,2.3650,34.7057
304.2000,2.3827,34.7073
303.2000,2.4183,34.7083
302.2000,2.4123,34.7079
301.2000,2.4501,34.7056
300.2000,2.4765,34.7042
299.2000,2.5264,34.7046
298.2000,2.5152,34.7054
297.2000,2.5348,34.7054
296.2000,2.5234,34.7070
295.2000,2.5318,34.7099
294.2000,2.5313,34.7085
293.2000,2.5593,34.7076
292.2000,2.5369,34.7057
291.2000,2.5648,34.7067
290.2000,2.5750,34.7087
289.2000,2.5714,34.7090
288.2000,2.5796,34.7081
287.2000,2.5643,34.7095
286.2000,2.5611,34.7092
285.2000,2.5976,34.7088
284.2000,2.6173,34.7081
283.2000,2.6157,34.7082
